Expanded Homicide Data Table 5,,,,,,,,,,,
Murder ,,,,,,, ,,,,
"Race and Sex of Victim by Race and Sex of Offender, 2006",,,,,,,,,,,
[Single victim/single offender],,,,,,,,,,,
Race of victim,     Total,Race of offender,,,,Sex of offender,,, ,,
,,White,Black,Other,Unknown,Male,Female,Unknown,,,
White victims,"3,709","3,026",573,53,57,"3,322",330,57,,,
Black victims,"3,303",208,"3,034",12,49,"2,964",290,49,,,
Other race victims,186,54,28,97,7,159,20,7,,,
Unknown race,87,30,27,4,26,50,11,26,,,
Sex of victim,     Total,Race of offender,,,,Sex of offender,,,,,
,,White,Black,Other,Unknown,Male,Female,Unknown,,,
Male victims,"5,289","2,162","2,935",103,89,"4,710",490,89,,,
Female victims,"1,909","1,126",700,59,24,"1,735",150,24,,,
Unknown sex,87,30,27,4,26,50,11,26,,,
"NOTE:  This table is based on incidents where some information about the offender is known by law enforcement; therefore, when the offender age, sex, and race are all reported as unknown, these data are excluded from the table. ",,,,,,,,,,, 
,, , ,,,,,, ,, 
, , , ,,,,,,,,
