Expanded Homicide Data Table 6,,,,,,,,,,,
Murder ,,,,,,, ,,,,
"Race and Sex of Victim by Race and Sex of Offender, 2012",,,,,,,,,,,
[Single victim/single offender],,,,,,,,,,,
Race of victim,     Total,Race of offender,,,,Sex of offender,,, ,,
,,White,Black,Other,Unknown,Male,Female,Unknown,,,
White ,"3,128","2,614",431,36,47,"2,800",281,47,,,
Black ,"2,648",193,"2,412",12,31,"2,366",251,31,,,
Other race ,183,42,36,103,2,168,13,2,,,
Unknown race,59,26,17,1,15,41,3,15,,,
Sex of victim,     Total,Race of offender,,,,Sex of offender,,,,,
,,White,Black,Other,Unknown,Male,Female,Unknown,,,
Male ,"4,208","1,804","2,257",85,62,"3,725",421,62,,,
Female ,"1,751","1,045",622,66,18,"1,609",124,18,,,
Unknown sex,59,26,17,1,15,41,3,15,,,
"NOTE:  This table is based on incidents where some information about the offender is known by law enforcement; therefore, when the offender age, sex, and race are all reported as unknown, these data are excluded from the table. ",,,,,,,,,,, 
,,, ,,,,,, ,, 
,,,,,,, ,,,,
