Expanded Homicide Data Table 6,,,,,,,,,,,
Murder ,,,,,,, ,,,,
"Race and Sex of Victim by Race and Sex of Offender, 2009",,,,,,,,,,,
[Single victim/single offender],,,,,,,,,,,
Race of victim,Total,Race of offender,,,,Sex of offender,,, ,,
,,White,Black,Other,Unknown,Male,Female,Unknown,,,
White victims,"3,518","2,963",454,40,61,"3,097",360,61,,,
Black victims,"2,867",209,"2,604",13,41,"2,538",288,41,,,
Other race victims,181,50,26,104,1,162,18,1,,,
Unknown race,65,27,22,1,15,44,6,15,,,
Sex of victim,Total,Race of offender,,,,Sex of offender,,,,,
,,White,Black,Other,Unknown,Male,Female,Unknown,,,
Male victims,"4,638","2,054","2,422",86,76,"4,078",484,76,,,
Female victims,"1,928","1,168",662,71,27,"1,719",182,27,,,
Unknown sex,65,27,22,1,15,44,6,15,,,
"NOTE:  This table is based on incidents where some information about the offender is known by law enforcement; therefore, when the offender age, sex, and race are all reported as unknown, these data are excluded from the table. ",,,,,,,,,,, 
,,, ,,,,,, ,, 
,,,,,,, ,,,,
